gene name,geneId,adipose tissue,adrenal gland,appendix,bone marrow,breast,cerebral cortex,"cervix, uterine",colon,duodenum,endometrium,epididymis,esophagus,fallopian tube,gallbladder,heart muscle,kidney,liver,lung,lymph node,ovary,pancreas,parathyroid gland,placenta,prostate,rectum,salivary gland,seminal vesicle,skeletal muscle,skin,small intestine,smooth muscle,spleen,stomach,testis,thyroid gland,tonsil,urinary bladder,max,min,std diviacija,mediana
FAM114A2,ENSG00000055147,16.5,16.7,18.5,5.9,15.7,12.8,16.5,9.8,12.2,18.1,20.2,14.9,15.6,16,12.9,16.6,8.4,17.3,18.5,12.5,2.6,39.2,19.3,19.6,12,5.8,16.2,6.9,11.1,13.1,22.4,19.8,12,68.7,22.6,15.7,14.1,68.7,2.6,10.57817882,15.7
CYFIP2,ENSG00000055163,4.2,18,43.2,37.9,3.8,158.3,4.8,9.1,6.5,11.7,31.7,4.4,16.5,15.8,7.3,166.2,9.4,19.4,75,6.3,1.6,106,13.6,10.3,11.6,1.9,7.7,2.5,1.9,10.4,8.5,52.2,20.2,10.3,19.3,55.4,15.5,166.2,1.6,38.99115987,11.6
TAB2,ENSG00000055208,31,33.7,44.2,30.1,41.3,59.7,55.8,33,24.3,54.6,34.1,39.7,45.2,41.3,21,36.4,30.4,46.4,44.6,50.6,6.8,70.3,39.7,53.4,36.2,23.1,50.1,24.3,29.3,28.7,54.5,48.5,25.3,39.5,59.5,34.7,37.2,70.3,6.8,12.82088326,39.5
GINM1,ENSG00000055211,61.3,55.2,31.3,25.5,51.6,39.3,70.2,33.9,25.1,73.9,53,34.2,59.9,57.7,36.7,92.9,22.5,52.5,28.5,59.9,7.4,72.2,85.7,63.7,36.9,13.5,64.2,16.3,42,30.2,71.1,47.4,28.3,85,118.5,21.6,41.7,118.5,7.4,24.14887899,47.4
EIF2AK2,ENSG00000055332,14.8,12.7,20,23.3,11.3,22,16.2,11,12.6,20.1,10.1,9.5,14.7,20.7,4.5,10.4,5.1,16.4,11.6,14.5,1.9,25.4,19.9,17.7,11.7,8.9,12.2,1.8,5.5,14.9,18.7,19.5,11.8,7.2,18.3,8.5,15.1,25.4,1.8,5.813667431,12.7
USP36,ENSG00000055483,29.2,32,29.1,29.2,19.2,19.9,21.7,14.5,13.5,33.9,27.8,17.1,23.8,29.5,5.7,13.3,6.5,26.9,23.8,29.1,5.6,32.5,37,25,17.5,6.9,18.3,6.1,38.4,14.2,24.4,25.9,15.5,27.8,28.9,18.9,18.8,38.4,5.6,8.904724987,23.8
KMT2C,ENSG00000055609,8.9,11,11.4,18,14.5,14.5,19.4,10.4,8,19.3,19.6,8.9,15.1,13.3,4.4,8.7,4.8,13.5,12.6,17.9,2.9,23.5,14.9,15.6,10.3,5.2,13.9,8,25,7.9,12,14.9,9.8,19.6,22.7,8.9,8,25,2.9,5.439544894,12.6
MCOLN3,ENSG00000055732,3.1,57.8,0.3,0,2.6,0.1,7.9,0.8,5.3,9.6,17.5,0.3,2.9,0.6,1.3,5.7,0,6.9,0.1,2.7,1.5,42.8,3.6,0.5,1.2,1.6,0.9,0.1,5.1,2.4,3,1.2,2.7,1.2,3.3,0.2,0.2,57.8,0,11.40169275,1.6
CCDC85A,ENSG00000055813,13.5,0.9,0.9,0,1.7,21,3.9,0.7,0.3,10.7,1,0.8,3.6,1.9,3,1.1,0,8.6,0.7,0.6,0.1,2.9,15,3.4,0.8,0.5,3.9,1.9,2,0.4,7.3,1,0.4,0.9,15.9,0.6,1,21,0,5.099516584,1
PUM2,ENSG00000055917,32.2,39.1,45.6,22.7,51.6,53.6,56.1,36.7,35.2,61.5,39.9,44.7,50.4,43.5,22.2,40.2,22.4,49.8,57.5,56.7,6.2,83.8,59.4,60.6,41.4,14.2,46.9,7.6,55.8,40.5,49.9,59.6,34.1,48.1,98.1,44.9,44,98.1,6.2,17.97020666,44.9
MRPL43,ENSG00000055950,40.8,37.2,27.7,16.1,18.3,25.4,36.1,24.6,28.8,39.2,9,18.8,39.9,28.7,12.3,33,16.6,29.3,25.1,38.1,13.6,24.1,31.6,49.4,7.3,28.5,44.9,41.1,26.4,34.2,10.8,35.7,30.8,43.7,57.8,6.7,24.9,57.8,6.7,12.04212414,28.7
ITIH4,ENSG00000055955,2.2,1.7,1.8,6.3,2,3.5,5.4,0.9,1,2.5,2,1.5,2.7,1.8,1.1,1.2,984.5,2.5,1.9,1.4,0.7,0.4,1.1,1.8,1.1,0.6,2.6,13.8,1.5,1,2.3,3.4,0.9,1.8,1.5,1.1,1.1,984.5,0.4,159.3039431,1.8
ITIH1,ENSG00000055957,0.8,0,0.7,0,0,0,0.2,0,0,0.1,0,0,0.1,0.4,0.3,0.3,786.3,0.1,0.6,0,0,0,0.1,0,0.1,0.1,0.2,0,0,0,0.1,1.7,0.4,0.5,0,0.4,0.1,786.3,0,127.4756461,0.1
HPF1,ENSG00000056050,18.7,24.1,22,10.3,26.1,36.6,24.1,14.8,12.1,38.5,29.7,16.3,27.1,20.3,14.4,18.7,11.1,21,23.6,27.5,2.4,21.9,23.8,27.6,19.4,5.6,21.4,6.8,22.9,13.3,35.8,23.8,12.2,25.8,31.1,18.9,21.1,38.5,2.4,8.219885383,21.4
ZFR,ENSG00000056097,29.9,36.9,29.3,19.3,32.6,77.5,40.2,21.5,18.5,46.1,26.2,28.7,45.3,37,22.6,31.8,12.8,29,30.6,47.2,5.4,61,50.5,42.3,24.7,11.5,34.5,11.7,14.4,23.2,40.1,30.9,19.7,55.6,56.9,23.9,30.6,77.5,5.4,15.15988421,30.6
ZNF280C,ENSG00000056277,1.4,1.8,2.3,1.7,2.1,2.7,3.7,1,1.3,4.6,6.3,1.3,2.2,3,0.5,1.2,0.5,2.2,2.7,2.2,0.1,2.8,2.5,2.5,1.5,0.5,1.7,0.1,2,1.4,2.7,2.4,1,17.5,2.7,2.4,1.8,17.5,0.1,2.773763124,2.1
NPFFR2,ENSG00000056291,0,0,0.3,0,0.3,0.6,0.2,0.1,0.1,0,1.1,0,0.4,0.1,0,0,0,0,0.2,0,0,0,2.3,0.1,0.3,0,4.6,0,0.2,0.1,0,0.1,0,0.8,0.6,0.1,0.4,4.6,0,0.825807262,0.1
PHF21B,ENSG00000056487,0.1,1.6,0.1,0,0.1,6.7,5.5,0,0.1,5.4,0.5,0.4,1.2,0.2,0.2,0.7,0,0.1,0,2.4,0.1,0.9,0,2.7,0,0,0.8,0,0,0,1,0.1,0.1,6.4,1.7,0,0,6.7,0,1.855530891,0.1
TRAF1,ENSG00000056558,4.8,6.3,27.3,5.4,4.2,6.2,4.6,3,3.4,6.5,5.5,4.6,6.1,11.4,2.3,3.1,1.3,9,37.6,8.1,0.5,6.6,4.1,7.6,4.3,2.1,7.4,0.6,8.3,4.7,5.2,19.9,4.9,3.2,5,20.2,9.1,37.6,0.5,7.349003003,5.2
RC3H2,ENSG00000056586,13.1,11.5,16.2,19.9,12.8,20.6,21.2,10.3,9.9,19.8,9.8,14.3,16.2,17.3,9.3,13.7,6.8,17.1,21.6,14.2,1.5,25.5,20.9,15.6,12.4,3,12.8,2.6,11,9.3,20.7,19.2,10.9,21.3,21.8,15.8,14.7,25.5,1.5,5.693173799,14.3
IL17RB,ENSG00000056736,0.9,2.6,3,0.3,7.4,13.5,29.4,6.8,5.9,9.1,0.9,1.9,5.3,3.8,1.7,61.7,17.2,5.8,3,1.9,0.8,1.7,1.4,3.9,7.6,2,0.9,0.4,2.7,6.7,1.2,1.7,3.6,4.9,5,0.6,1.8,61.7,0.3,10.74130154,3
TRAF3IP2,ENSG00000056972,15,14.4,16.3,14.2,19.4,5.5,31.9,23.8,24.1,42.1,20.1,24.5,50.8,18,3.6,6.9,3.2,18.9,12.4,13.5,3.2,20.1,15.9,24,24.5,9.5,38.3,1.3,32.8,20.5,28.7,5.7,23.1,2.9,19.9,18.9,15.6,50.8,1.3,11.1297422,18.9
GYG2,ENSG00000056998,173.1,2.4,2.5,0.1,13.2,8.9,4.5,4.3,1.6,3.6,1.1,1.2,9.6,4,1,2.1,9.5,0.8,0.7,3.3,1.1,0.1,3.2,6.8,3.2,2.1,10,0.1,1.8,0.9,5.5,0.4,2.5,1.7,3,0.3,2.3,173.1,0.1,27.71468482,2.4
DCBLD2,ENSG00000057019,13.5,17.4,6.2,0.7,10.2,8.5,12.7,5.2,2.8,24.6,9.7,7.1,23.6,19.8,17.8,11.8,5,17.2,4.1,22.2,1.2,29.2,11.5,18.8,7.8,4.2,20.7,1.8,9.9,3.7,24,2.3,4.7,44.9,26.4,3.6,9.1,44.9,0.7,9.641025833,9.9
SERPINB3,ENSG00000057149,0,0,0.4,0,1.3,0,298.5,0,0,5.2,0,848,0.1,0.3,0.2,0,0,1.1,0,0,0,0,0,2.7,0,0,0,0,48.2,0,0,0,0,3.1,0,16.7,87.5,848,0,144.4370918,0
SOAT1,ENSG00000057252,17.7,218.2,24.5,11.2,9.9,11.1,20.8,12.9,12.2,19.6,8.1,5.3,28.7,32.5,3.4,13.9,7.3,30.9,17.4,13.1,5.7,27.3,27.2,45.1,16.3,14.9,13.2,0.5,3,14.1,23.9,21,15.3,21.1,15.4,12.1,13.9,218.2,0.5,33.96290934,14.9
PKP2,ENSG00000057294,4.6,3.4,8.3,3.8,13.8,2,30.2,48.7,23.4,8.2,4.7,5.5,114.2,11.6,123.3,8.1,13,1.9,4.9,18.3,3.4,50.6,29,14.4,48.8,24.5,9.8,1.7,1.3,29.2,8.3,2.8,16.7,12.1,0.7,9.5,4.2,123.3,0.7,27.23033746,9.5
MSH4,ENSG00000057468,0.1,0.1,0.1,0,0.2,0.1,0.1,0,0,0.3,2.3,0,0.2,0.2,0.1,0,0,0.1,0.1,0.2,0,0,0.2,0.1,0.1,0,0.1,0.1,0.2,0.2,0.2,0.7,0.1,7.7,0,0,0.1,7.7,0,1.276848979,0.1
F7,ENSG00000057593,0.1,0,0.2,0,0.2,0.6,0.9,0,0.7,0.3,0.7,0.1,0.9,0.1,0.1,0.2,65,0,0,0.4,0,0,0.2,0.5,0,0,0.1,0,0.3,1,0,0,0,1.4,0,0,0,65,0,10.50575132,0.1
GDI2,ENSG00000057608,136.6,139.6,196,77,160.4,132.1,174.8,146.9,168.5,153.2,132.8,137.8,148.7,169.5,54.8,145.3,118.4,139.6,241.2,136.6,33.2,132,184.3,136.3,168.1,39.2,123,32.9,121,169.3,172.3,181.8,98.1,132.2,181.3,207.1,141.8,241.2,32.9,45.62971092,139.6
PRDM1,ENSG00000057657,7.5,3.1,27,13.1,8.3,2.1,12.4,14.9,9.5,30.1,1.6,61,9.9,20.9,1.1,1.7,2.2,9.7,18.4,6.3,0.4,3.6,7.6,5.8,20.1,1.6,3.5,1.4,9.1,14.1,8.8,17.2,14.2,2.5,15.1,25.5,21.3,61,0.4,11.40600549,9.1
ATG5,ENSG00000057663,14.2,27.6,18.6,12.1,20.6,17.4,24.8,21.4,20.9,29,21,15.3,26.6,20,7.3,17.8,11.9,19.6,17,19.2,2.7,14.3,22.5,28,21.6,5.4,21.4,5.5,10.1,21.5,24.9,15.7,16.1,21.8,32.3,13.7,18.9,32.3,2.7,6.697500161,19.2
TMCC3,ENSG00000057704,12.9,5.8,12.6,6.7,12.4,17.3,17.5,22.3,15.1,12.7,3.8,6.7,9.4,8.5,1.5,8.8,2.1,8,5.2,5.9,0.6,8.7,25.7,13.5,18.1,1.1,7.5,4.2,6.7,23.4,11.8,16.9,7,3.8,22.2,5.7,8,25.7,0.6,6.506323271,8.5
PITHD1,ENSG00000057757,36.6,53.5,38.1,62.4,53.7,141.5,43.3,34.6,28.3,56.1,67.1,49.3,55.4,38.4,23.7,35.6,26.6,48.2,52.1,43.3,9,208.8,53.8,79.2,45,16.3,53.1,22.6,67,31.1,55.7,52.1,31.4,89,55.2,47.9,33.5,208.8,9,34.46412454,48.2
MTA3,ENSG00000057935,12.5,39.7,12.3,1.4,22.8,35.4,26.3,16.2,11.8,35.7,37.1,20.3,28.4,22.7,9.6,19.5,5.1,16.2,18.9,50,3.6,35.8,29,29.8,19.4,5.6,31,2.1,23.8,12.3,26.5,11.7,15,52.4,27.4,18.3,17.7,52.4,1.4,12.34407142,19.5
USP13,ENSG00000058056,9.4,19.1,4.1,1,6,6.7,7.7,2.7,1.2,9.4,2.5,5.7,6.4,7.3,31.7,4.8,3.6,8.6,4.8,17.2,1,10.2,5.4,9.3,3.7,2.8,5.3,52.2,2.7,2.4,10.7,3.9,2,14.4,18.7,3.6,4.5,52.2,1,9.535697416,5.4
ATP11B,ENSG00000058063,22.7,14.1,33.3,45.4,21.4,15.5,29.8,25.9,24.4,31.1,17.8,50.2,22.5,33.4,9.2,19.3,9.5,24.6,32.7,25.2,4.4,56.2,20.7,45.7,31.9,7.8,18.8,2,33.6,26.6,28.7,29.9,46.6,58,28.1,26.1,25.1,58,2,13.16301401,25.9
LAMC2,ENSG00000058085,2.4,0.1,23.4,0.1,27.5,0.5,24.6,12.4,2.8,21.9,2.8,6,57.8,21.6,0.9,5.8,0.4,38.9,9.4,1,0.6,0,16.3,9.2,14.8,1.6,9.1,0.2,15.9,17.8,5,1.2,14.8,5.3,32.1,11.7,5.8,57.8,0,12.66799514,6
CDK14,ENSG00000058091,9.3,6.2,10.7,4.7,10.8,56.7,15.9,3.6,2.7,14.7,3.8,3.4,20.1,19.9,8.3,22.2,7,14.8,14.8,18.6,3.2,6,9,18.7,3.8,3.6,9.6,1.6,1.6,3.1,11.4,11.6,7.5,14.9,23.1,12.1,8.6,56.7,1.6,9.722811354,9.3
SEC61A1,ENSG00000058262,88.6,102.4,115.5,47.3,90.4,70.2,218.2,84.9,78.3,126.6,152.6,71.5,120.2,125.5,38.1,67,55,106.8,66.7,79.3,42.8,166,155.4,140.6,96.9,69.9,132.9,13.6,72.3,80.6,156.3,71.3,91.9,70.9,170.5,71.6,100.1,218.2,13.6,42.26269874,88.6
PPP1R12A,ENSG00000058272,34.6,24,42.5,37.4,26.5,39.3,51.8,32.8,22.1,108.6,37.8,79.4,58,56.9,15.9,19.4,7.2,36.3,36.3,33,2.1,35.8,58.8,109.9,39.6,7.9,117.2,6.4,18.5,28.9,120.9,41.7,19.4,42.6,41.2,25.4,69.2,120.9,2.1,29.94015287,36.3
RASGRF1,ENSG00000058335,0.1,0.2,1.3,0,0.2,30.5,0.9,0.2,0.2,0.7,0.2,0.1,0.6,0.1,0,0.3,0,11.3,1.5,1,0.4,0,0.3,0.8,0.2,0,0.3,0,0,0.2,0.1,0.9,0.1,0.5,0,1.3,0.6,30.5,0,5.1648387,0.2
CAMK2B,ENSG00000058404,0.5,14.8,0.8,0,1.8,214.1,0.2,0.5,1,0.4,34.5,1.6,1.7,0.3,43.4,1.1,2.1,0.3,1.6,0,0.8,11.5,0.1,4.9,0.5,0.5,2.3,46.1,1.4,1,0.2,0.4,2.1,3.8,18.2,1.5,0,214.1,0,35.68528761,1.1
CROCC,ENSG00000058453,4,3.2,3.1,1,1.5,2.9,2.2,1.3,1.7,5.6,0.8,0.8,10.4,2.1,1,1.7,0.2,4,2.7,3.6,0.6,3.1,1.9,3.5,0.5,1.5,2.6,2.1,11.6,2.4,1.6,6.4,2.2,2.6,1,0.7,1.1,11.6,0.2,2.404931627,2.1
POLR3E,ENSG00000058600,4.6,4.1,4.6,2.5,5.3,4.7,6,3.8,3.5,4.2,2.5,5.2,6.3,4.3,3.5,2.9,2.1,4.1,3.8,3.2,1.3,8.9,4.6,7.3,2.3,2.1,7.4,4.7,4.6,3.1,4.7,4.1,3.8,6.7,5.8,3.2,4.4,8.9,1.3,1.597610524,4.2
ATP2B4,ENSG00000058668,63.6,31.7,33.6,9.9,19.6,61.8,71,29.7,12.3,171.8,23.9,35.9,79.9,38.5,38.2,10.4,4.6,50,14.5,48.1,1.9,28.1,55.4,54.3,33.5,2.9,96.7,4.8,62.2,14.7,254.6,16,14,49,24.3,17,39.9,254.6,1.9,47.41240772,33.5
ZC3H11A,ENSG00000058673,16.3,20.3,27.7,18.5,18.3,23.4,20.9,14.6,20.5,30.8,15.9,18.8,26.1,23.5,9.3,17.9,8.2,21.9,31.1,22.8,3.4,38,24.2,25.7,19.6,8.5,18,8.2,30.6,25.3,24.5,32.1,19.4,41.6,37.5,23.6,22.8,41.6,3.4,8.369641478,21.9
RIOK2,ENSG00000058729,15,19.7,19.1,13.9,18.6,15.3,18.1,13.3,13.7,18.4,15.3,11.2,13.6,13,6.5,11,7.8,15.5,17.5,18.7,3.4,17.9,17.9,17.6,14.5,4.7,13.2,5.5,11.7,12.2,13.8,18.6,11.8,22.1,20.2,12.9,12.7,22.1,3.4,4.427442808,13.9
YIPF1,ENSG00000058799,7.2,7.5,7.9,3.5,10.2,8,9.6,7.5,6.8,5.4,8.7,8.1,9.7,8,3.1,9.1,5.8,9,7.4,5.2,1.3,6.5,13.4,17.3,9.6,4.4,6.4,3.5,6.7,7.4,8.1,8,7.8,12.9,35,9.3,9.5,35,1.3,5.276842749,7.9
NDC1,ENSG00000058804,5.6,6.1,11.4,4.6,12,6.8,7.8,10.4,8,9.7,7.9,7.4,10.7,6.3,2.6,6.6,3.5,6.1,16.4,6.4,0.9,14.3,10.2,6.9,13.9,1.6,6.5,1.3,7.7,8.1,9.3,6.8,5.5,12.8,10,14.8,6.6,16.4,0.9,3.679310603,7.4
DGKG,ENSG00000058866,1.7,4.7,1.1,6.1,0.9,21.4,1.4,0.7,1.4,0.8,9.7,5.1,6.6,1.4,5.8,1.5,0.4,2.3,1,0.5,0.1,3.7,11.3,2.2,0.8,0.3,2.5,0.4,0.2,1.3,3.4,1.1,0.4,0.5,0.5,0.7,2.9,21.4,0.1,4.042287429,1.4
FLYWCH1,ENSG00000059122,15.8,18.2,15.6,7.9,5.3,29.4,10,7,13,17.4,5.9,11,13.6,20.1,9.8,8.3,1.9,13.7,12.7,21.7,2.2,30.3,11.8,18.5,4.1,5.6,17.6,9.7,23.9,14.2,11.3,25.4,9.1,6.4,16.2,5.8,13.3,30.3,1.9,6.991371077,12.7
UNKL,ENSG00000059145,4.2,3.7,4.9,3.4,2.5,6,2.3,1.6,4.2,9.6,0.8,1.3,4.9,2.6,1.3,1.5,0.4,5.1,4.4,8.7,0.8,3.5,3.9,6.2,1.5,2.1,3.8,2.2,4.8,4.2,2.5,8.2,3.6,6.1,3.4,2.5,2,9.6,0.4,2.164262493,3.5
TBXAS1,ENSG00000059377,16.4,14.5,38.6,15.6,10.3,10.9,8.4,9.9,10.3,5.4,2.4,6,7.7,33.4,2.4,4.3,6.5,35.1,12.8,3.6,0.7,3.8,20.3,10.6,14.3,2.9,5.5,0.2,0.5,13.1,17.8,56.3,10.7,2.8,2.9,7.6,17.2,56.3,0.2,11.72376545,9.9
PARP12,ENSG00000059378,3,2.2,8,6.2,3.6,1.5,1.9,3.3,6.2,5.4,7.1,2.4,3.6,7.5,1.4,1.4,0.7,7.9,7.2,3.8,0.5,6.3,7.6,5.4,6.2,2.8,3.5,0.8,13.8,6.3,4.2,11,3.7,10.2,3.9,4.1,3.6,13.8,0.5,2.992469243,3.9
ALDH18A1,ENSG00000059573,17.7,18.3,28.1,10.3,25,18.7,50.6,51.7,89.5,31.2,37.4,21.1,35.2,39.8,6.7,19.1,9.2,16,25.4,20.7,12.9,50.9,37.6,39,54.2,48.8,34.8,1.3,26.6,80.2,38,15,38.4,21.8,62.6,24.4,25.2,89.5,1.3,19.10730034,26.6
TARBP1,ENSG00000059588,5.6,7,10.1,7.2,11.4,9.2,7.7,6.2,6.6,8.3,9.4,7.1,12.5,9.2,2.5,6.1,2,9.5,12.5,3.3,1.6,16.1,12.1,12.2,10.1,3.9,6.3,1.7,9.6,6.6,6.9,10.6,8.1,9.1,10.6,10.6,5.1,16.1,1.6,3.326823934,8.1
GATB,ENSG00000059691,13,13.8,7.5,5.9,10.2,20.2,10.1,9.6,5.8,8.2,10.1,10.6,14,8.5,21.2,22.4,11.4,7.8,8.5,13.9,0.6,22.1,12.2,8.9,10.4,3.4,9.1,7.9,8.2,7,11.5,8.6,6.7,14.9,12.4,8.7,9.3,22.4,0.6,4.726018621,9.6
MXD1,ENSG00000059728,16.4,4.8,56.3,113.8,6.4,10.2,6.5,30,28.7,8.8,2.4,101.9,3.9,15,1.7,3.9,3.3,10.4,4.5,4.9,0.8,10.3,15.3,6.7,31.3,1.6,2.8,1.3,6.7,48.1,13,26.3,16.1,11.6,8.3,13.8,12.7,113.8,0.8,24.84098207,10.2
CDK17,ENSG00000059758,24.3,14.5,25.3,29.6,20.4,71.8,19.5,10.6,11.8,42.7,10.8,16,21.6,25.5,7.2,12.1,8.2,26.5,24.7,19,2.1,19,45.2,22.4,13.3,3.2,15.3,2.3,12.5,12.6,43.1,29.5,9.6,49.2,19.2,20.1,16.5,71.8,2.1,14.12655054,19
DNAJC25,ENSG00000059769,3.7,7.1,3.4,0.6,2.7,1.3,2.2,3,3,2.8,5.7,1.4,2.2,3.5,1.7,5.5,16.7,1.8,0.8,1.1,0.3,7.9,3.9,6.2,1.9,1.8,3.3,0.8,1.3,2.9,2.6,0.9,2.2,2.9,3.8,0.8,3.9,16.7,0.3,2.877229818,2.7
SLC2A3,ENSG00000059804,66.5,24.6,76.5,271.2,11,81,25.3,8.3,6.6,32.5,2.2,13.4,8.9,84.9,6.5,7.9,14.9,47.4,32.8,14.5,2.2,19.2,138.7,29.9,13.5,1.1,7.5,0.7,3.5,6.7,56.2,32.1,6.8,6.9,15.9,18.5,92.3,271.2,0.7,50.2890276,14.9
PSD,ENSG00000059915,0.2,12,5,0.4,0.6,112.7,8.6,8.1,6.2,40.4,1.7,0.3,17.1,14.2,0.6,0.4,0.2,1,1.1,5.7,0.8,2.3,1.1,1.9,3.9,0.2,1.7,0,1.4,5.9,25.9,0.8,3.8,7.5,0.3,0.4,13.9,112.7,0,19.20422327,1.7
CTDP1,ENSG00000060069,6.5,4.3,9.6,8.6,3.6,6.7,4.7,6.3,7.2,5.8,1.7,4.4,5.5,6.3,2.2,4.3,2.1,7.4,9.7,2.7,1.5,3.4,6,6.1,3.3,2.2,5.5,1.6,7.4,8.3,4.5,11.7,6.2,19.6,6.3,3.4,4.8,19.6,1.5,3.342774553,5.5
YBX3,ENSG00000060138,189.1,75.3,109,97.1,107.6,13.1,98.4,66.2,39.2,99.6,59,229.2,148.3,109.8,229.9,39.8,8.5,111.9,38,76.1,27.6,25.1,112.9,126.6,67.4,48.3,104.9,1300.9,419.9,43.4,160.5,66,51.5,529.8,69.3,52.5,92.2,1300.9,8.5,218.671586,92.2
STYK1,ENSG00000060140,0.3,0.4,2.2,0.7,4.8,11.9,2.5,14.9,2.2,0.8,1.2,4.8,3.1,5.1,0,0.5,0.1,1.9,1.5,0.4,0,0,0.9,16.9,17.4,0.8,1.2,0,3.2,12,0.9,1.3,15.9,0.4,0.7,2.2,4.2,17.4,0,5.159079312,1.3
WNK1,ENSG00000060237,65.9,29,51.2,39.7,38.7,90.8,55.6,23.6,16,48.2,41.6,92.4,49.5,48,41.8,89.1,17.5,69.1,50.1,40.2,4.4,82.9,55.2,49.5,28.6,9.2,49.3,31.9,70.5,20.4,54.1,43.4,28.2,86.3,51.2,43.5,42.1,92.4,4.4,22.10856935,48
CCAR1,ENSG00000060339,16.9,25.1,27.1,14.8,21,18.2,22.1,17.4,16.7,27.6,19.4,19.1,19.6,26.1,6.8,16.9,8,18.6,34.8,19.7,3.3,31.5,30.7,27.8,24.2,6.2,18.5,7.1,28.3,18.8,23.2,23.6,16.3,26.3,30.2,25.9,24.6,34.8,3.3,7.427448944,19.7
OGFR,ENSG00000060491,23.3,18.1,36,22.3,13,32.9,17.1,14.5,28.6,26.1,7.6,12.6,25.2,21.5,6.3,12.1,13.8,35.9,32.8,24.2,4.4,20.8,20.7,23.1,10.8,13,21.6,6.2,25.5,28.7,19.1,52.6,20.7,16.5,20.8,16.2,16.3,52.6,4.4,9.560086402,20.7
GNA15,ENSG00000060558,7.5,3.8,18.3,48.7,5,4.4,7.2,2.3,1.9,1.8,0.6,61.3,1.9,7.8,0.8,0.6,0.8,11.6,4.8,0.6,0.2,0.4,11.5,6.6,2.1,1.4,3.8,0.1,25.9,2.1,4.7,7,4.3,2,0.6,12,17.5,61.3,0.1,12.68051369,3.8
CREB3L3,ENSG00000060566,0,0.1,0.4,0.2,0,0.3,0,1.8,241.6,0.1,0,0,0,0.1,0,1.4,61,0,0.2,0,0,0,0,0,0.5,0,0,0,0,278.7,0.4,0,1.8,0.4,0,0,0.1,278.7,0,59.36492793,0
PIGV,ENSG00000060642,8.4,15.4,8.2,4.8,15.9,9.7,20.9,10.7,10.6,14.3,23.9,10.1,23.6,15.7,3.2,15.6,18,13.2,9.4,14.8,2.4,33.9,13.8,18.8,12.8,6.3,19.6,1.3,15.9,10.2,13.6,9.9,9.9,79.6,25.9,10.5,11.6,79.6,1.3,12.6045037,13.2
PTPRU,ENSG00000060656,5.2,2.8,1.5,0,4.5,5.7,28,1.6,0.7,10.2,4,3,17.9,7.4,2,2.1,1.3,13.4,0.7,11.1,2,14.4,16.4,10.9,1.6,4,18.5,2.4,5.4,0.7,2.8,2.3,2.3,6.2,4.2,1.2,11.4,28,0,6.299926374,4
SNRNP40,ENSG00000060688,20.4,25,28.3,18.7,26,17,27.2,20.5,16.6,33.2,26.9,17.8,36.4,21,8.9,18.9,10,23.7,40.9,25.9,2.5,22.9,32.2,32.5,24.7,5.8,29.4,4.9,21.4,17.8,32.1,29.3,15.5,39,30.5,36.8,22.9,40.9,2.5,9.271063712,23.7
RIMBP2,ENSG00000060709,0.5,13.5,0.8,0.2,0.3,24.4,7.2,1,2.8,3.4,2.2,0.5,7.7,0.9,0,1.9,0.1,0.3,0.1,1.7,0.4,95,0,1.3,1.5,0,1.2,0,3.4,2,2.3,1.2,4.2,4.8,0.8,0,0.4,95,0,15.64965828,1.2
COL11A1,ENSG00000060718,0.2,0.8,0.4,0,0.5,3.3,1.2,0.2,0.1,0.9,0.2,0,0,4.7,0,0.1,0,0.4,0.1,0.3,0.1,0.1,27.9,0.3,0.4,0.6,1.1,0,0.2,0,0.4,0.2,0,1.7,0.1,0,0.2,27.9,0,4.535645688,0.2
QSER1,ENSG00000060749,6.1,6,7.3,3.8,11.3,8.9,11.5,5.1,3.4,14.1,9.5,8.3,10.1,8.6,3.9,6,3.1,6.7,6.5,15.8,1.3,15.9,8.2,7.7,6.1,4.3,7.2,1.4,15.4,4.7,9.4,8.3,5.2,17.4,14.8,6,6.2,17.4,1.3,4.091795493,7.2
MPC1,ENSG00000060762,64,48.4,41.6,33,61.8,128.7,72.7,89.8,80.6,55.8,49.9,72.6,53.1,60.7,432.9,249.4,193.6,62,45.7,50.5,12.9,78.7,31.4,65.7,90,35.1,56.3,106.1,45.4,65.8,52.2,44.7,79.7,38.2,128.1,37.1,52.4,432.9,12.9,73.42082382,60.7
ACAA1,ENSG00000060971,44.6,44.4,31.5,28.1,49.8,43.7,37.4,54,97.7,18.7,50.7,46.1,27.8,43.9,45.1,209.1,328.4,49.6,28.1,19.4,9.9,44.7,23.5,83.9,53.7,14.8,34.4,15.5,18.5,96.7,26.7,38.3,31.1,21.6,51.4,26.3,42.1,328.4,9.9,57.13794567,42.1
BCAT1,ENSG00000060982,8,7.6,9.9,1.5,2.4,12.4,5.7,2.6,0.8,14.2,1.3,2.2,12.4,7,0.8,1.3,0.6,14,7.4,8.8,12.2,0.7,21.4,1.5,2.9,0.7,1.1,0.1,0.7,1.6,8.4,2.8,1.2,13.3,2,4.8,4.5,21.4,0.1,5.199357998,2.8
